Species_code,Scientific_name,Source,Notes
JUNIocci,Juniperus_occidentalis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
JUNIoste,Juniperus_osteosperma,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
JUNIscop,Juniperus_scopulorum,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
JUNIdepp,Juniperus_deppeana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
JUNImono,Juniperus_monosperma,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
LIQUstya,Liquidambar_styraciflua,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
LIRItuli,Liriodendron_tulipifera,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
NYSSsylv,Nyssa_sylvatica,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
NYSSaqua,Nyssa_aquatica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
NYSSogec,Nyssa_ogeche,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
OXYDarbo,Oxydendron_arboreum,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
PINUechi,Pinus_echinata,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
PINUstro,Pinus_strobus,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
PINUvirg,Pinus_virginiana,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
PINUbank,Pinus_banksiana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUpalu,Pinus_palustris,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUpung,Pinus_pungens,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUresi,Pinus_resinosa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUrigi,Pinus_rigida,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUsero,Pinus_serotina,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUtaed,Pinus_taeda,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUelli,Pinus_elliottii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUglab,Pinus_glabra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUpond,Pinus_ponderosa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUjeff,Pinus_jeffreyi,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUlamb,Pinus_lambertiana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUmont,Pinus_monticola,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUcont,Pinus_contorta,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUflex,Pinus_flexilis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUalbi,Pinus_albicaulis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUcoul,Pinus_coulteri,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUatte,Pinus_attenuata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUmuri,Pinus_muricata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUradi,Pinus_radiata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUsabi,Pinus_sabiniana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUaris,Pinus_aristata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUlong,Pinus_longaeva,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUstrob,Pinus_strobiformis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUedul,Pinus_edulis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUmono,Pinus_monophylla,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUclau,Pinus_clausa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUtorr,Pinus_torreyana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUwash,Pinus_washoensis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PINUbalf,Pinus_balfouriana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PRUNsero,Prunus_serotina,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
PRUNpens,Prunus_pensylvanica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PRUNvirg,Prunus_virginiana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERalba,Quercus_alba,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
QUERcocc,Quercus_coccinea,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
QUERfalc,Quercus_falcata,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
QUERprin,Quercus_prinus,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
QUERrubr,Quercus_rubra,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
QUERstel,Quercus_stellata,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
QUERvelu,Quercus_velutina,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
QUERbico,Quercus_bicolor,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERimbr,Quercus_imbricaria,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERlaur,Quercus_laurifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERlyra,Quercus_lyrata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERmacr,Quercus_macrocarpa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERmari,Quercus_marilandica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERmich,Quercus_michauxii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERmueh,Quercus_muehlenbergii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERnigr,Quercus_nigra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERpalu,Quercus_palustris,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERphel,Quercus_phellos,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERshum,Quercus_shumardii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERvirg,Quercus_virginiana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERagri,Quercus_agrifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERchry,Quercus_chrysolepis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERdoug,Quercus_douglasii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERgarr,Quercus_garryana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERkell,Quercus_kelloggii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERloba,Quercus_lobata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERwisl,Quercus_wislizeni,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERgamb,Quercus_gambelii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERariz,Quercus_arizonica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERemor,Quercus_emoryi,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERlaev,Quercus_laevis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERmont,Quercus_montana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
QUERogle,Quercus_oglethorpensis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ROBIpseu,Robinia_pseudoacacia,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
SASSalbi,Sassafras_albidum,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
TILIhete,Tilia_heterophylla,UVAFME2012,Original UVAFME2012 parameterization (SE US calibrated)
TILIamer,Tilia_americana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
TILIcaro,Tilia_caroliniana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ABIEbals,Abies_balsamea,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ABIEfras,Abies_fraseri,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ABIEamab,Abies_amabilis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ABIEconc,Abies_concolor,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ABIEgran,Abies_grandis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ABIElasi,Abies_lasiocarpa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ABIEmagn,Abies_magnifica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ABIEproc,Abies_procera,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ABIEshas,Abies_shastensis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CHAMthyo,Chamaecyparis_thyoides,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CHAMlaws,Chamaecyparis_lawsoniana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CHAMnoot,Chamaecyparis_nootkatensis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
LARIlari,Larix_laricina,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
LARIocci,Larix_occidentalis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
LARIlyal,Larix_lyallii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PICEglau,Picea_glauca,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PICEmari,Picea_mariana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PICErube,Picea_rubens,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PICEenge,Picea_engelmannii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PICEsitc,Picea_sitchensis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PICEpung,Picea_pungens,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PICEbrew,Picea_breweriana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PICEchih,Picea_chihuahuana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
TAXOdist,Taxodium_distichum,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
TAXOasce,Taxodium_ascendens,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
THUJocci,Thuja_occidentalis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
THUJplic,Thuja_plicata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
TSUGcana,Tsuga_canadensis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
TSUGcaro,Tsuga_caroliniana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
TSUGhete,Tsuga_heterophylla,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
TSUGmert,Tsuga_mertensiana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CALOdecu,Calocedrus_decurrens,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CUPRariz,Cupressus_arizonica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CUPRmacr,Cupressus_macrocarpa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PSEUmenz,Pseudotsuga_menziesii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
SEQUsemp,Sequoia_sempervirens,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
SEQUgiga,Sequoiadendron_giganteum,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
TAXUbrev,Taxus_brevifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
TORRtaxi,Torreya_taxifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
AILAalti,Ailanthus_altissima,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ALNUglut,Alnus_glutinosa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ALNUinca,Alnus_incana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ALNUrubr,Alnus_rubra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
AMELarbo,Amelanchier_arborea,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
BETUalle,Betula_alleghaniensis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
BETUlent,Betula_lenta,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
BETUnigr,Betula_nigra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
BETUpapy,Betula_papyrifera,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
BETUpopu,Betula_populifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
BETUuber,Betula_uber,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CARPcaro,Carpinus_caroliniana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CASTdent,Castanea_dentata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CASTpumi,Castanea_pumila,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CATAbign,Catalpa_bignonioides,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CATAspec,Catalpa_speciosa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CELTlaev,Celtis_laevigata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CELTocci,Celtis_occidentalis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CLADkent,Cladrastis_kentukea,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CORNalte,Cornus_alternifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CORNnutt,Cornus_nuttallii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
GLEDtria,Gleditsia_triacanthos,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
GLEDaqua,Gleditsia_aquatica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
GORDlasi,Gordonia_lasianthus,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
GYMNdioi,Gymnocladus_dioicus,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
HALEtetr,Halesia_tetraptera,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
HALEdipt,Halesia_diptera,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
MAGNacum,Magnolia_acuminata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
MAGNgran,Magnolia_grandiflora,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
MAGNmacr,Magnolia_macrophylla,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
MAGNtrip,Magnolia_tripetala,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
MAGNvirg,Magnolia_virginiana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
MAGNfras,Magnolia_fraseri,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
MORUrubr,Morus_rubra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
OSTRvirg,Ostrya_virginiana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PAULtome,Paulownia_tomentosa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PERSborb,Persea_borbonia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PLANaqua,Planera_aquatica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PLATocci,Platanus_occidentalis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PLATrace,Platanus_racemosa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
POPUdelt,Populus_deltoides,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
POPUgran,Populus_grandidentata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
POPUtrem,Populus_tremuloides,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
POPUbals,Populus_balsamifera,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
POPUhete,Populus_heterophylla,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
POPUtric,Populus_trichocarpa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
POPUfrem,Populus_fremontii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
POPUangu,Populus_angustifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
SALInigr,Salix_nigra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
SALIamyg,Salix_amygdaloides,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
SALIlasi,Salix_lasiandra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
SALIscou,Salix_scouleriana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
SALIgood,Salix_gooddingii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
SORBamer,Sorbus_americana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ULMUamer,Ulmus_americana,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
